Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Salem Township Police Department,Municipality,PENNSYLVANIA,Luzerne County,Task Force Model,"Mar 13, 2026","Berwick, PA 18603",null
Dublin Police Department,Municipality,TEXAS,Erath County,Task Force Model,"Mar 13, 2026","Dublin, TX 76446",3450
Lavaca County Constable Precinct 2,Municipality,TEXAS,Lavaca County,Task Force Model,"Mar 13, 2026","Moulton, Texas 77975",null
San Saba County Sheriff's Office,County,TEXAS,San Saba County,Task Force Model,"Mar 13, 2026","San Saba, TX 76877",5508
Sherwood Police Department,Municipality,ARKANSAS,Pulaski County,Task Force Model,"Mar 17, 2026","Sherwood, AR 72120",33281
Brodhead Police Department,Municipality,KENTUCKY,Rockcastle County,Task Force Model,"Mar 17, 2026","Brodhead, KY 40409",1112
Rockcastle County Sheriff's Office,County,KENTUCKY,Rockcastle County,Jail Enforcement Model,"Mar 17, 2026","Mount Vernon, KY 40456",16226
Carter County Sheriff's Office,County,MISSOURI,Carter County,Jail Enforcement Model,"Mar 17, 2026","Van Buren, MO 63965",5359
Carter County Sheriff's Office,County,MISSOURI,Carter County,Task Force Model,"Mar 17, 2026","Van Buren, MO 63965",5359
Madison County Sheriff's Office,County,MISSOURI,Madison County,Task Force Model,"Mar 17, 2026","Fredericktown, MO 63645",12852
Wayne County Sheriff's Office,County,MISSOURI,Wayne County,Task Force Model,"Mar 17, 2026","Greenville, MO 63944",10820
Frackville Borough Police Department,Municipality,PENNSYLVANIA,Schuylkill County,Task Force Model,"Mar 17, 2026","Frackville, PA 17931",3899
Mount Carmel Township Police Department,Municipality,PENNSYLVANIA,Northumberland County,Task Force Model,"Mar 17, 2026","Mount Carmel, PA 17851",5626
Hutchinson County Sheriff's Office,County,TEXAS,Hutchinson County,Warrant Service Officer,"Mar 17, 2026","Borger, TX 79007",19721
Troup Police Department,Municipality,TEXAS,Smith County,Task Force Model,"Mar 17, 2026","Troup, TX 75789",2141
"Mohawk Village Police Department ",Municipality,NEW YORK,Herkimber County,Task Force Model,"Mar 19, 2026","Mohawk, NY 13407",2376
Clay County Sheriff's Office,County,KENTUCKY,Clay County,Task Force Model,"Mar 19, 2026","Manchester, KY 40962",19592
Bismarck Police Department,Municipality,MISSOURI,St. Francois County,Task Force Model,"Mar 19, 2026","Bismarck, MO 63624",1222
Saint Francois County Sheriff's Office,County,MISSOURI,St. Francois County,Task Force Model,"Mar 19, 2026","Farmington, MO 63640",67503
Canadian County Sheriff's Office,County,OKLAHOMA,Canadian County,Task Force Model,"Mar 19, 2026","El Reno, OK 73036",181760
West Hazleton Borough Police Department,Municipality,PENNSYLVANIA,Luzerne County,Task Force Model,"Mar 19, 2026","West Hazleton, PA 18202",5231
"Cut ""N"" Shoot Police Department",Municipality,TEXAS,Montgomery County,Task Force Model,"Mar 19, 2026","Cut and Shoot, TX 77306",1190
Hughes Springs Police Department,Municipality,TEXAS,Cass County,Task Force Model,"Mar 19, 2026","Hughes Springs, TX 75656",1533
Liberty County Constable Precinct 2,Municipality,TEXAS,Liberty County,Task Force Model,"Mar 19, 2026","Raywood, TX 77582",null
Page County Sheriff's Office,County,VIRGINIA,Page County,Task Force Model,"Mar 19, 2026","Luray, VA 22835",23686
Clay County Sheriff's Department,County,MISSISSIPPI,Clay County,Task Force Model,"Mar 21, 2026","West Point, MS 39773",18213
Hughesville Borough Police Department,Municipality,PENNSYLVANIA,Lycoming County,Task Force Model,"Mar 21, 2026","Hughesville, PA 17737",2120
York County Regional Police Department,Municipality,PENNSYLVANIA,York County,Task Force Model,"Mar 21, 2026","Dover, PA 17315",45241
Ballinger Police Department,Municipality,TEXAS,Runnels County,Task Force Model,"Mar 21, 2026","Ballinger, TX 76821",3530
Greene County Sheriff's Office,County,ARKANSAS,Greene County,Warrant Service Officer,"Mar 23, 2026","Paragould, AR 72450",46928
Dunklin County Sheriff's Office,County,MISSOURI,Dunklin County,Task Force Model,"Mar 23, 2026","Kennett, MO 63857",27002
Poinsett County Sheriff's Office,County,ARKANSAS,Poinsett County,Jail Enforcement Model,"Mar 23, 2026","Harrisburg, AR 72432",22300
Poinsett County Sheriff's Office,County,ARKANSAS,Poinsett County,Task Force Model,"Mar 23, 2026","Harrisburg, AR 72432",22300
Poinsett County Sheriff's Office,County,ARKANSAS,Poinsett County,Warrant Service Officer,"Mar 23, 2026","Harrisburg, AR 72432",22300
Polk County Sheriff's Office,County,ARKANSAS,Polk County,Jail Enforcement Model,"Mar 23, 2026","Mena, AR 71953",19434
Carthage Police Department,Municipality,INDIANA,Rush County,Task Force Model,"Mar 23, 2026","Carthage, IN 46115",916
Letcher County Sheriff's Office,County,KENTUCKY,Letcher County,Task Force Model,"Mar 23, 2026","Whitesburg, KY 41858",20139
St. Bernard Parish Sheriff's Office,County,LOUISIANA,Chalmette Parish,Jail Enforcement Model,"Mar 23, 2026","Chalmette, LA 70043",null
Washita County Sheriff's Office,County,OKLAHOMA,Washita County,Task Force Model,"Mar 23, 2026","New Cordell, OK 73632",10839
Franklin County Sheriff's Office,County,IDAHO,Franklin County,Task Force Model,"Mar 24, 2026","Preston, ID 83263",15638
Wolcott Police Department,Municipality,INDIANA,White County,Task Force Model,"Mar 24, 2026","Wolcott, IN 47995",952
Jackson County Sheriff's Office,County,KENTUCKY,Jackson County,Task Force Model,"Mar 24, 2026","McKee, KY 40447",13358
Oakley Police Department,Municipality,MICHIGAN,Saginaw County,Task Force Model,"Mar 24, 2026","Oakley, MI 48649",289
Potosi Police Department,Municipality,MISSOURI,Washington County,Task Force Model,"Mar 24, 2026","Potosi, MO 63664",2549
Stone County Sheriff's Office,County,MISSOURI,Stone County,Task Force Model,"Mar 24, 2026","Galena, MO 65656",32630
Cisco Police Department,Municipality,TEXAS,Eastland County,Task Force Model,"Mar 24, 2026","Cisco, TX 76437",4029
Commerce Police Department,Municipality,TEXAS,Hunt County,Task Force Model,"Mar 24, 2026","Commerce, TX 75428",9800
Sulphur Springs Police Department,Municipality,TEXAS,Hopkins County,Task Force Model,"Mar 24, 2026","Sulphur Springs, TX 75482",16891
Foley Police Department,Municipality,ALABAMA,Baldwin County,Task Force Model,"Mar 25, 2026","Foley, AL 36535",28043
Doolittle Police Department,Municipality,MISSOURI,Phelps County,Task Force Model,"Mar 25, 2026","Doolittle, MO 65550",576
Whitefield Police Department,Municipality,NEW HAMPSHIRE,Coos County,Task Force Model,"Mar 25, 2026","Whitefield, NH 03598",null
Orwigsburg Borough Police Department,Municipality,PENNSYLVANIA,Schuylkill County,Task Force Model,"Mar 25, 2026","Orwigsburg, PA 17961",3014
Shamokin City Police Department,Municipality,PENNSYLVANIA,Northumberland County,Task Force Model,"Mar 25, 2026","Shamokin, PA 17872",6787
Salley Police Department,Municipality,SOUTH CAROLINA,Aiken County,Task Force Model,"Mar 25, 2026","Salley, SC 29137",351
Lawrence County Sheriff's Office,County,TENNESSEE,Lawrence County,Jail Enforcement Model,"Mar 25, 2026","Lawrenceburg, TN 38464",46467
Lawrence County Sheriff's Office,County,TENNESSEE,Lawrence County,Task Force Model,"Mar 25, 2026","Lawrenceburg, TN 38464",46467
Lawrence County Sheriff's Office,County,TENNESSEE,Lawrence County,Warrant Service Officer,"Mar 25, 2026","Lawrenceburg, TN 38464",46467
Beeville Police Department,Municipality,TEXAS,Bee County,Task Force Model,"Mar 25, 2026","Beeville, TX 78102",13176
Perry Police Department,Municipality,SOUTH CAROLINA,Aiken County,Task Force Model,"Mar 26, 2026","Perry, SC 29137",209
Perry County Sheriff's Office,County,ARKANSAS,Perry County,Jail Enforcement Model,"Mar 28, 2026","Perryville, AR 72126",10251
Dallas Police Department,Municipality,GEORGIA,Paulding County,Task Force Model,"Mar 28, 2026","Dallas, GA 30132",15062
Bullitt County Sheriff's Office,County,KENTUCKY,Bullitt County,Task Force Model,"Mar 28, 2026","Shepherdsville, KY 40165",85802
Torrance County Sheriff's Office,County,NEW MEXICO,Torrance County,Warrant Service Officer,"Mar 28, 2026","Estancia, NM 87016",15986
Haskell Police Department,Municipality,OKLAHOMA,Muskogee County,Task Force Model,"Mar 28, 2026","Haskell, OK 74436",1721
Texas County Sheriff's Office,County,OKLAHOMA,Texas County,Task Force Model,"Mar 28, 2026","Guymon, OK 73942",20577
Viborg Police Department,Municipality,SOUTH DAKOTA,Turner County,Task Force Model,"Mar 28, 2026","Viborg, SD 57070",834
Bertram Police Department,Municipality,TEXAS,Burnet County,Task Force Model,"Mar 28, 2026","Bertram, TX 78605",2020
Corrigan Police Department,Municipality,TEXAS,Polk County,Task Force Model,"Mar 28, 2026","Corrigan, TX 75939",1401
Hale County Sheriff's Office,County,ALABAMA,Hale County,Task Force Model,"Mar 31, 2026","Greensboro, AL 36744",15116
Fulton County Sheriff's Office,County,ARKANSAS,Fulton County,Warrant Service Officer,"Mar 31, 2026","Salem, AR 72576",12546
Marion County Sheriff's Office,County,ARKANSAS,Marion County,Jail Enforcement Model,"Mar 31, 2026","Yellville, AR 72687",17593
Marion County Sheriff's Office,County,ARKANSAS,Marion County,Task Force Model,"Mar 31, 2026","Yellville, AR 72687",17593
Mississippi County Sheriff's Office,County,ARKANSAS,Mississippi County,Jail Enforcement Model,"Mar 31, 2026","Luxora, AR 72358",38095
Ouachita County Sheriff's Office,County,ARKANSAS,Ouachita County,Jail Enforcement Model,"Mar 31, 2026","Camden, AR 71701",21684
Prairie County Sheriff's Office,County,ARKANSAS,Prairie County,Jail Enforcement Model,"Mar 31, 2026","Des Arc, AR 72040",7935
Prairie County Sheriff's Office,County,ARKANSAS,Prairie County,Task Force Model,"Mar 31, 2026","Des Arc, AR 72040",7935
White County Sheriff's Office,County,ARKANSAS,White County,Jail Enforcement Model,"Mar 31, 2026","Searcy, AR 72143",79091
Glasgow Police Department,Municipality,KENTUCKY,Barren County,Task Force Model,"Mar 31, 2026","Glasgow, KY 42141",15388
El Dorado Springs Police Department,Municipality,MISSOURI,Cedar County,Task Force Model,"Mar 31, 2026","El Dorado Springs, MO 64744",3674
Boise City Police Department,Municipality,OKLAHOMA,Cimarron County,Task Force Model,"Mar 31, 2026","Boise City, OK 73933",1077
Cimarron County Sheriff's Office,County,OKLAHOMA,Cimarron County,Task Force Model,"Mar 31, 2026","Boise City, OK 73933",2133
Locust Township Police Department,Municipality,PENNSYLVANIA,Columbia County,Task Force Model,"Mar 31, 2026","Catawissa, PA 17820",null
Mahoning Township Police Department,Municipality,PENNSYLVANIA,Lawrence County,Task Force Model,"Mar 31, 2026","Danville, PA 17821",null
Overton Police Department,Municipality,TEXAS,Overton County,Task Force Model,"Mar 31, 2026","Overton, TX 75684",2305
Robertson County Sheriff's Office,County,TEXAS,Robertson County,Jail Enforcement Model,"Mar 31, 2026","Franklin, TX 77856",17659
Robertson County Sheriff's Office,County,TEXAS,Robertson County,Task Force Model,"Mar 31, 2026","Franklin, TX 77856",17659
Boone County Sheriff's Office,County,ARKANSAS,Boone County,Task Force Model,"Apr 5, 2026","Harrison, AR 72601",38636
Boone County Sheriff's Office,County,ARKANSAS,Boone County,Warrant Service Officer,"Apr 5, 2026","Harrison, AR 72601",38636
Clark County Sheriff's Office,County,ARKANSAS,Clark County,Jail Enforcement Model,"Apr 5, 2026","Arkadelphia, AR 71923",20920
Des Arc Police Department,Municipality,ARKANSAS,Prairie County,Task Force Model,"Apr 5, 2026","Des Arc, AR 72040",1841
Evening Shade Police Department,Municipality,ARKANSAS,Sharp County,Task Force Model,"Apr 5, 2026","Evening Shade, AR 72532",436
Hot Spring County Sheriff's Office,County,ARKANSAS,Hot Spring County,Jail Enforcement Model,"Apr 5, 2026","Malvern, AR 72104",33313
Sharp County Sheriff's Office,County,ARKANSAS,Sharp County,Jail Enforcement Model,"Apr 5, 2026","Ash Flat, AR 72513",18130
Sharp County Sheriff's Office,County,ARKANSAS,Sharp County,Warrant Service Officer,"Apr 5, 2026","Ash Flat, AR 72513",18130
Livingston Police Department,Municipality,KENTUCKY,Rockcastle County,Task Force Model,"Apr 5, 2026","Livingston, KY 40445",165
Bowling Green Police Department,Municipality,MISSOURI,Pike County,Task Force Model,"Apr 5, 2026","Bowling Green, MO 63334",4380
Cabool Police Department,Municipality,MISSOURI,Texas County,Task Force Model,"Apr 5, 2026","Cabool, MO 65689",2059
Dekalb County Sheriff's Office,County,MISSOURI,Dekalb County,Jail Enforcement Model,"Apr 5, 2026","Maysville, MO 64469",9884
Dekalb County Sheriff's Office,County,MISSOURI,Dekalb County,Task Force Model,"Apr 5, 2026","Maysville, MO 64469",9884
Dekalb County Sheriff's Office,County,MISSOURI,Dekalb County,Warrant Service Officer,"Apr 5, 2026","Maysville, MO 64469",9884
Red Willow County Sheriff's Office,County,NEBRASKA,Red Willow County,Jail Enforcement Model,"Apr 5, 2026","McCook, NE 69001",10409
Red Willow County Sheriff's Office,County,NEBRASKA,Red Willow County,Task Force Model,"Apr 5, 2026","McCook, NE 69001",10409
Red Willow County Sheriff's Office,County,NEBRASKA,Red Willow County,Warrant Service Officer,"Apr 5, 2026","McCook, NE 69001",10409
Custer County Sheriff's Office,County,OKLAHOMA,Custer County,Task Force Model,"Apr 5, 2026","Arapaho, OK 73620",28266
Grady County Sheriff's Office,County,OKLAHOMA,Grady County,Task Force Model,"Apr 5, 2026","Chickasha, OK 73018",58353
Schuylkill Haven Borough Police Department,Municipality,PENNSYLVANIA,Schuylkill County,Task Force Model,"Apr 5, 2026","Schuylkill Haven, PA 17972",5273
Fannin County Constable Precinct 3,Municipality,TEXAS,Fannin County,Task Force Model,"Apr 5, 2026","Bonham, TX 75418",null
Gregg County Sheriff's Office,County,TEXAS,Gregg County,Task Force Model,"Apr 5, 2026","Longview, TX 75601",126679
Nueces County Constable Precinct 3,County,TEXAS,Nueces County,Task Force Model,"Apr 5, 2026","Corpus Christi, TX 78401",353125
Parker County District Attorney's Office,County,TEXAS,Parker County,Task Force Model,"Apr 5, 2026","Weatherford, TX 76086",179707
Red River County Sheriff's Office,County,TEXAS,Red River County,Task Force Model,"Apr 5, 2026","Clarksville, TX 75426",11696
Santa Anna Police Department,Municipality,TEXAS,"Coleman County ",Task Force Model,"Apr 5, 2026","Santa Anna, TX 76878",1052
Leesburg Police Department,Municipality,ALABAMA,Cherokee County,Task Force Model,"Apr 7, 2026","Leesburg, AL 35983",1006
Lonoke County Sheriff's Office,County,ARKANSAS,Lonoke County,Warrant Service Officer,"Apr 7, 2026","Lonoke, AR 72086",76389
Columbia Police Department,Municipality,LOUISIANA,Caldwell Parish,Task Force Model,"Apr 7, 2026","Columbia, LA 71418",266
Mississippi County Sheriff's Office,County,MISSOURI,Mississippi County,Jail Enforcement Model,"Apr 7, 2026","Charleston, MO 63834",11750
Mississippi County Sheriff's Office,County,MISSOURI,Mississippi County,Task Force Model,"Apr 7, 2026","Charleston, MO 63834",11750
Mississippi County Sheriff's Office,County,MISSOURI,Mississippi County,Warrant Service Officer,"Apr 7, 2026","Charleston, MO 63834",11750
Blanco County Constable Precinct 4,Municipality,TEXAS,Blanco County,Task Force Model,"Apr 7, 2026","Blanco, TX 78606",null
Webster County Sheriff's Office,County,MISSISSIPPI,Webster County,Task Force Model,"Apr 8, 2026",null,10039
Texas County Sheriff's Office,County,MISSOURI,Texas County,Jail Enforcement Model,"Apr 8, 2026",null,25715
Texas County Sheriff's Office,County,MISSOURI,Texas County,Task Force Model,"Apr 8, 2026",null,25715
Texas County Sheriff's Office,County,MISSOURI,Texas County,Warrant Service Officer,"Apr 8, 2026",null,25715
Montoursville Borough Police Department,Municipality,PENNSYLVANIA,Lycoming County,Task Force Model,"Apr 8, 2026",null,null
Coryell County Sheriff's Office,County,TEXAS,Coryell County,Task Force Model,"Apr 8, 2026",null,86370
Livingston Parish Sheriff's Office,County,LOUISIANA,Livingston Parish,Task Force Model,"Apr 9, 2026",null,152886
Carter County Sheriff's Office,County,MONTANA,Carter County,Task Force Model,"Apr 9, 2026",null,1399
Jack County Sheriff's Office,County,TEXAS,Jack County,Task Force Model,"Apr 9, 2026",null,9398
Monette Police Department,Municipality,ARKANSAS,Craighead County,Task Force Model,"Apr 13, 2026",null,1558
Marengo Police Department,Municipality,INDIANA,Crawford County,Task Force Model,"Apr 13, 2026",null,821
Person County Sheriff's Office,County,NORTH CAROLINA,Person County,Warrant Service Officer,"Apr 13, 2026",null,40143
Mounds Police Department,Municipality,OKLAHOMA,Creek County,Task Force Model,"Apr 13, 2026",null,984
Harrison County Sheriff's Office,County,TEXAS,Harrison County,Task Force Model,"Apr 13, 2026",null,71370
Langlade County Sheriff's Office,County,WISCONSIN,Langlade County,Warrant Service Officer,"Apr 13, 2026",null,19535
Garland County Sheriff's Office,County,ARKANSAS,Garland County,Warrant Service Officer,"Apr 13, 2026",null,99902
Izard County Sheriff's Office,County,ARKANSAS,Izard County,Warrant Service Officer,"Apr 13, 2026",null,14291
Claypool Police Department,Municipality,INDIANA,Kosciusko County,Task Force Model,"Apr 13, 2026",null,395
Haubstadt Police Department,Municipality,INDIANA,Gibson County,Task Force Model,"Apr 13, 2026",null,1621
West Harrison Police Department,Municipality,INDIANA,Dearborn County,Task Force Model,"Apr 13, 2026",null,332
